Housing_Eig_freq;Value_Housing;Out_Eig_freq;Value;Pinion_Eig_freq;Value
1;428;1;621;1;2214
2;524;2;1239;2;0
3;661;3;1373;;
4;700;4;1698;;
5;717;5;0;;
6;758;6;2352;;
7;857;7;2802;;
8;878;8;3515;;
9;965;;;;
10;1065;;;;
11;1099;;;;
12;1132;;;;
13;1182;;;;
14;1200;;;;
15;1237;;;;
16;1258;;;;
17;1359;;;;
18;1369;;;;
19;1413;;;;
20;1482;;;;
21;1549;;;;
22;1574;;;;
23;1633;;;;
24;0;;;;
25;1749;;;;
26;1777;;;;
27;1857;;;;
28;1909;;;;
29;1947;;;;
30;1966;;;;
31;2009;;;;
32;2043;;;;
33;2066;;;;
34;2113;;;;
35;2199;;;;
36;2253;;;;
37;2351;;;;
38;2396;;;;
39;2467;;;;
40;2475;;;;
41;2489;;;;
42;2532;;;;
43;2577;;;;
44;2648;;;;
45;2714;;;;
46;2749;;;;
47;2783;;;;
48;2875;;;;
49;2924;;;;
50;2955;;;;
51;3044;;;;
52;3052;;;;
53;3086;;;;
54;3136;;;;
55;3183;;;;
56;3244;;;;
57;3303;;;;
58;3352;;;;
59;3419;;;;
60;3484;;;;
61;3484;;;;
62;3539;;;;
63;3586;;;;
